"","SiteID","stability","pop_stab","async_l","async_g","avg_richness"
"33",33,1.77955849859698,1.1878244426279,2.24450213213018,0.776672933701267,13.4
"71",71,3.00484694469987,1.21432290787618,6.12317025740813,0.720854452230974,38.7647058823529
"80",80,3.71329206368953,1.35048250032125,7.56032207079924,0.771527147694553,35.4
"107",107,2.51512782707713,1.28728165391319,3.8174465485038,0.697620595521078,36.4210526315789
"232",232,2.67186036941999,1.42298611341806,3.52554443478613,0.785347049264018,32.4736842105263
"246",246,2.51127607372804,1.21562490642724,4.26765927604952,0.819066040717451,38.7058823529412
"249",249,2.41511459951051,1.42561644691084,2.86992199333683,0.786211228447154,24.3684210526316
"251",251,1.7735848865825,0.717441870846125,6.11125661700271,0.827811607606155,14.8
"255",255,3.92467138223818,1.27599225860312,9.46042218931941,0.93069970993571,37.1
"258",258,3.23906666848728,1.40231336417548,5.33518677904744,0.704031051919245,19.7142857142857
"260",260,2.23728648568268,1.07521576017102,4.32964167820067,0.853282012483364,20.8421052631579
"261",261,5.00994181593249,1.40811297824516,12.658736552949,0.882884800887555,41.3
"262",262,4.97689819581915,1.49789962784464,11.0395682466901,0.873861840576622,44.75
"267",267,2.25882590500314,1.06447330022193,4.50293807088472,0.728885779655504,22.7272727272727
"269",269,4.84104285392652,1.76122729685,7.5552186684115,0.854221867252029,26
"271",271,2.41050035092626,1.20263013944026,4.01744769186698,0.74547051909771,35.45
"280",280,2.98377755832134,1.3453662429865,4.91871697136808,0.810690933287658,35
"281",281,2.74524435409998,1.21548079999734,5.10112314715498,0.885625486334872,20.7
"284",284,2.58976632332788,1.42626670801825,3.29700547413498,0.751416880219516,33.9473684210526
"285",285,2.88580400903848,1.35185445019317,4.55694508233542,0.830614926869501,22.2105263157895
"286",286,2.72606520497588,1.3002408249424,4.39566800116202,0.835478604391092,38.2666666666667
"288",288,1.99942433740699,1.23612067017606,2.61630403439153,0.663088865184401,27.4
"290",290,1.80814111720441,1.13478638074252,2.53884632758287,0.62204539543328,27.6
"293",293,2.50455266321761,0.981378846420407,6.51308807331255,0.816259256603025,29.2666666666667
"294",294,2.65798696711593,1.09267558257728,5.91729495527638,0.825513336877932,26
"295",295,2.99263052261003,1.22090860546041,6.00813790587182,0.81495724721945,50.6
"298",298,2.34934057732383,1.2013545709222,3.8242788296337,0.740348380495496,29.2666666666667
