"DatasetTitle","SiteName","SiteID","Year","Species","Abund_Stnd"
"Butterfly","Nuuksio Kattila",107,2000,"Vanessa atalanta",0.152
"Butterfly","Nuuksio Kattila",107,2000,"Nymphalis antiopa",0.13
"Butterfly","Nuuksio Kattila",107,2000,"Gonepteryx rhamni",1.054
"Butterfly","Nuuksio Kattila",107,2000,"Thymelicus lineola",0.587
"Butterfly","Nuuksio Kattila",107,2000,"Lycaena virgaureae",0.655
"Butterfly","Nuuksio Kattila",107,2000,"Lycaena phlaeas",0.113
"Butterfly","Nuuksio Kattila",107,2000,"Plebeius argus",0.617
"Butterfly","Nuuksio Kattila",107,2000,"Pararge maera",0.523
"Butterfly","Nuuksio Kattila",107,2000,"Plebeius icarus",0.093
"Butterfly","Nuuksio Kattila",107,2000,"Callophrys rubi",0.195
"Butterfly","Nuuksio Kattila",107,2000,"Aphantopus hyperantus",1.993
"Butterfly","Nuuksio Kattila",107,2000,"Plebeius artaxerxes",0.132
"Butterfly","Nuuksio Kattila",107,2000,"Argynnis aglaja",0.121
"Butterfly","Nuuksio Kattila",107,2000,"Plebeius amandus",0.675
"Butterfly","Nuuksio Kattila",107,2000,"Plebeius optilete",0.052
"Butterfly","Nuuksio Kattila",107,2000,"Anthocharis cardamines",0.065
"Butterfly","Nuuksio Kattila",107,2000,"Coenonympha glycerion",0.523
"Butterfly","Nuuksio Kattila",107,2000,"Plebeius semiargus",0.045
"Butterfly","Nuuksio Kattila",107,2000,"Argynnis adippe",0.284
"Butterfly","Nuuksio Kattila",107,2000,"Brenthis ino",0.866
"Butterfly","Nuuksio Kattila",107,2000,"Aporia crataegi",0.007
"Butterfly","Nuuksio Kattila",107,2000,"Lycaena hippothoe",0.124
"Butterfly","Nuuksio Kattila",107,2000,"Ochlodes sylvanus",0.249
"Butterfly","Nuuksio Kattila",107,2000,"Pieris napi",0.284
"Butterfly","Nuuksio Kattila",107,2000,"Nymphalis io",0.448
"Butterfly","Nuuksio Kattila",107,2000,"Vanessa cardui",0.012
"Butterfly","Nuuksio Kattila",107,2000,"Erebia ligea",0.114
"Butterfly","Nuuksio Kattila",107,2000,"Boloria selene",0.117
"Butterfly","Nuuksio Kattila",107,2000,"Euphydryas maturna",0.02
"Butterfly","Nuuksio Kattila",107,2000,"Melitaea athalia",0.109
"Butterfly","Nuuksio Kattila",107,2000,"Nymphalis c-album",0.181
"Butterfly","Nuuksio Kattila",107,2000,"Leptidea sinapis",0.091
"Butterfly","Nuuksio Kattila",107,2000,"Pararge aegeria",0.014
"Butterfly","Nuuksio Kattila",107,2000,"Carterocephalus silvicola",0.103
"Butterfly","Nuuksio Kattila",107,2000,"Boloria euphrosyne",0.028
"Butterfly","Nuuksio Kattila",107,2000,"Nymphalis urticae",0.061
"Butterfly","Nuuksio Kattila",107,2000,"Pararge petropolitana",0.015
"Butterfly","Nuuksio Kattila",107,2000,"Colias palaeno",0.008
"Butterfly","Nuuksio Kattila",107,2000,"Pyrgus malvae",0.008
"Butterfly","Nuuksio Kattila",107,2000,"Pieris brassicae",0.008
"Butterfly","Nuuksio Kattila",107,2002,"Aphantopus hyperantus",2.999
"Butterfly","Nuuksio Kattila",107,2002,"Argynnis adippe",0.264
"Butterfly","Nuuksio Kattila",107,2002,"Coenonympha glycerion",1.66
"Butterfly","Nuuksio Kattila",107,2002,"Nymphalis urticae",0.358
"Butterfly","Nuuksio Kattila",107,2002,"Plebeius amandus",0.32
"Butterfly","Nuuksio Kattila",107,2002,"Nymphalis c-album",0.145
"Butterfly","Nuuksio Kattila",107,2002,"Ochlodes sylvanus",0.71
"Butterfly","Nuuksio Kattila",107,2002,"Gonepteryx rhamni",0.487
"Butterfly","Nuuksio Kattila",107,2002,"Thymelicus lineola",0.144
"Butterfly","Nuuksio Kattila",107,2002,"Nymphalis io",0.822
"Butterfly","Nuuksio Kattila",107,2002,"Plebeius argus",0.046
"Butterfly","Nuuksio Kattila",107,2002,"Papilio machaon",0.005
"Butterfly","Nuuksio Kattila",107,2002,"Melitaea athalia",0.2
"Butterfly","Nuuksio Kattila",107,2002,"Pararge maera",0.271
"Butterfly","Nuuksio Kattila",107,2002,"Pieris rapae",0.113
"Butterfly","Nuuksio Kattila",107,2002,"Colias palaeno",0.016
"Butterfly","Nuuksio Kattila",107,2002,"Brenthis ino",0.596
"Butterfly","Nuuksio Kattila",107,2002,"Lycaena virgaureae",0.139
"Butterfly","Nuuksio Kattila",107,2002,"Plebeius eumedon",0.029
"Butterfly","Nuuksio Kattila",107,2002,"Plebeius icarus",0.012
"Butterfly","Nuuksio Kattila",107,2002,"Argynnis aglaja",0.051
"Butterfly","Nuuksio Kattila",107,2002,"Plebeius semiargus",0.065
"Butterfly","Nuuksio Kattila",107,2002,"Boloria selene",0.314
"Butterfly","Nuuksio Kattila",107,2002,"Lycaena hippothoe",0.055
"Butterfly","Nuuksio Kattila",107,2002,"Pieris napi",0.146
"Butterfly","Nuuksio Kattila",107,2002,"Carterocephalus silvicola",0.081
"Butterfly","Nuuksio Kattila",107,2002,"Vanessa cardui",0.015
"Butterfly","Nuuksio Kattila",107,2002,"Anthocharis cardamines",0.006
"Butterfly","Nuuksio Kattila",107,2002,"Vanessa atalanta",0.005
"Butterfly","Nuuksio Kattila",107,2002,"Plebeius artaxerxes",0.06
"Butterfly","Nuuksio Kattila",107,2002,"Erebia ligea",0.009
"Butterfly","Nuuksio Kattila",107,2002,"Pararge aegeria",0.14
"Butterfly","Nuuksio Kattila",107,2002,"Pararge petropolitana",0.033
"Butterfly","Nuuksio Kattila",107,2002,"Leptidea sinapis",0.096
