"taxa","SiteID","stability","pop_stab","async_l","avg_richness","mpd","f_dis","cwm_pc1","avg_FDD","sd_FDD","avg_GDD5","sd_GDD5","log_stability","log_sqrt_async_l","log_pop_stab"
"Birds","MNP.5550",8.0385627541883,2.19828798311193,13.3717313081968,46.9,92.9972554457091,1.59853743694224,-0.58023965558314,-343.375001716614,176.953180928606,2531.49001464844,179.741110590628,2.08425030529418,1.29657143737111,0.787678867923072
"Birds","MNP.5553",5.3937222755203,1.86578766663695,8.35704470872519,42.3,90.2459133413943,1.5674540569215,-0.559828979345895,-343.375001716614,176.953180928606,2531.49001464844,179.741110590628,1.68523573572428,1.06155243042921,0.623683305295065
"Birds","MNP.5556",8.58748544995167,2.34424344823521,13.4191994123458,52.8,94.4483011709378,1.58789333832777,-0.571261987055638,-343.375001716614,176.953180928606,2531.49001464844,179.741110590628,2.15030596321826,1.29834323672798,0.851962726490277
"Birds","MNP.5578",8.86730101019296,2.23553765587964,15.7332673809678,36.8,81.6398388604421,1.46874936560629,-0.870951028834703,-342.039999961853,170.218482169935,2558.48999023438,148.033505103503,2.18237046706347,1.37788870601349,0.804481761049982
"Birds","MNP.5580",6.14071588319381,1.99102823030515,9.51224817289548,23.2666666666667,67.5448070278061,1.39722779751059,-0.75064474381907,-318.499999745687,195.713116042396,2620.17998046875,158.487403047717,1.81494132871661,1.12629012477719,0.688651203939424
"Birds","MNP.5597",5.15563340878539,2.11864893137382,5.92169536572822,22.3333333333333,97.0422889210338,1.71394668887882,0.0250684117990923,-423.43124961853,206.544573629317,2562.44999694824,161.99524726686,1.64008998262397,0.88931139362158,0.75077858900239
"Birds","MNP.5614",15.2658936422301,2.69368391265105,32.1182001008779,43.1428571428571,90.4433714092671,1.61143625069433,-0.541512470570358,-479.266670735677,232.186771953583,2616.72000325521,185.570088432128,2.72562116638162,1.73471142539927,0.99090974098235
"Birds","MNP.5625",9.40213913932756,2.05768205604162,20.8783804486186,40.9473684210526,85.5771695649217,1.49009767171002,-0.851430575856591,-664.952631900185,277.477019439783,2168.56843647204,138.998043540043,2.24093723139986,1.5193570976424,0.721580133757453
"Birds","MNP.5628",5.65111556119723,1.81574934523071,9.68627030592273,35.5555555555556,92.9367499339942,1.56167855600822,-0.63193434971706,-626.338881598579,242.185529882275,2356.51665581597,171.005084520644,1.73185297012844,1.13535472522979,0.596498244898656
"Birds","MNP.5642",4.85837377622119,2.38778879205211,4.13990170077763,34.2,88.6545309251351,1.48011327568125,-0.641868587908269,-679.194999694824,218.940294446104,2323.01001586914,186.852104049037,1.58070376797041,0.710336021890908,0.870367746079501
"Birds","MNP.5650",7.92320924265939,1.99664382458791,15.7471169188148,45.2941176470588,88.2165259192601,1.54986545290517,-0.663411216765998,-664.91765459846,171.171726690881,2242.44116210937,169.562043370092,2.06979633115847,1.37832864787089,0.691467683287588
"Birds","MNP.5651",6.53611071018294,1.68480699189946,15.0500688678292,26.95,87.1557889810967,1.50877415349223,-0.854432691539546,-639.670002746582,174.278849620457,2251.91000366211,152.792527190181,1.87734229593673,1.35569128355996,0.521651012376771
"Birds","MNP.5652",9.78392848238306,2.11273873552059,21.4454394109363,38.5,89.2694102826419,1.52918280510751,-0.744545217432107,-624.48999786377,168.148672961667,2240.98998413086,163.001446475245,2.28074108870802,1.53275600394676,0.747985084761262
"Birds","MNP.5654",8.21067962575338,2.09131008976524,15.4142127083072,32.15,91.1058316437004,1.52068891340925,-0.705572304723091,-656.929996490479,252.312223688777,2320.61000976563,164.346363373196,2.10543570027617,1.36764499347158,0.737790706804587
"Birds","MNP.5655",11.7775119973324,2.28912046938847,26.4709673823397,34.75,86.7412009548112,1.48151748074528,-0.77390803865517,-656.929996490479,252.312223688777,2320.61000976563,164.346363373196,2.466191950257,1.6380242809692,0.828167669287794
"Birds","MNP.5670",9.07179000680166,2.1342597780185,18.0672235280354,40.5,88.4610031384858,1.51813790734478,-0.812674765762794,-873.887502670288,250.944531587167,2100.89998626709,144.649525581589,2.20516959931909,1.44704972094373,0.758119878375352
"Birds","MNP.5675",4.35122457945547,2.03191246175539,4.58577783056309,48.4736842105263,86.4553551954666,1.55532336149238,-0.794062369466348,-846.473689029091,269.297175290394,2072.84209883841,132.196568576824,1.47045731800188,0.761479869058393,0.708977448943484
"Birds","MNP.5676",4.61246224179361,2.00865112876586,5.27298604152367,52.4736842105263,98.7358762324508,1.6352619860184,-0.615248411650057,-830.652623226768,269.038044133053,2105.89473041735,131.966153068945,1.52876182327213,0.831298406692258,0.697463416579876
"Birds","MNP.5683",9.74991546987376,2.37897836922492,16.7965742619148,33.45,91.0370166482265,1.52193799723928,-0.881076283208811,-700.464994812012,252.31372892772,2105.86502075195,158.58218187033,2.27725861521564,1.41058747631744,0.866671138898198
"Birds","MNP.5684",10.5741028646489,2.25592409546711,21.9704066771487,49.15,106.003500527878,1.66649369696218,-0.377218680646144,-700.464994812012,252.31372892772,2105.86502075195,158.58218187033,2.35840788583941,1.54484819839591,0.813559687443505
"Birds","MNP.5685",10.4867761310681,2.49863989944306,17.6147568385597,34.95,89.9842242888372,1.50631616155377,-0.866112241178014,-694.060005187988,253.856712574907,2142.73997802734,155.939741019928,2.35011504734379,1.43436850373598,0.9157465436078
